,e1,relation,e2,date,predictions
0,Ministry (Afghanistan),Make statement,Afghanistan,2014-03-06,"['Lawmaker (Indonesia)', 'Agence France-Presse', 'Military (El Salvador)', 'Afghanistan', 'Defense / Security Ministry (Ukraine)', 'Military (North Korea)', 'Raúl Castro', 'Public Prosecutor (Greece)', 'Foreign Affairs (Liberia)', 'City Mayor (Philippines)']"
1,John Kerry,Express intent to meet or negotiate,China,2014-11-04,"['China', 'Colombia', 'Togo', 'Kuwait', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand', 'People Associated with the Opposition (Mauritania)']"
2,Japan,Make a visit,Thailand,2014-09-22,"['Thailand', 'Public Prosecutor (Greece)', 'Men (India)', 'Iraq', 'Military Personnel (Libya)', 'Gabriel Torwua Suswam', 'Ethiopia', 'Criminal (Tanzania)', 'Head of Government (Egypt)', '""Uganda People\'s Defence Force""']"
3,Head of Government (Pakistan),Express intent to meet or negotiate,Tajikistan,2014-06-16,"['Citizen (Georgia)', 'Angola', 'Energy Department/Ministry (Jordan)', 'Laos', 'Governor (India)', 'Ministry (Venezuela)', 'United Arab Emirates', 'Intelligence (United States)', 'Ministry (Afghanistan)', 'Muslim (Afghanistan)']"
4,Media Personnel (France),Make statement,France,2014-03-24,"['France', 'Military Personnel (Mali)', 'Combatant (Egypt)', 'Member of Parliament (Australia)', 'Afghanistan', 'Colombia', 'Vietnam', 'Somsavat Lengsava', 'Ma Ying Jeou', 'Philippines']"
5,Xi Jinping,Make optimistic comment,Malaysia,2014-11-10,"['Abdullah Gül', 'Lawyer/Attorney (Argentina)', 'Inter-Services Intelligence', 'Energy Department/Ministry (Iran)', 'Citizen (India)', 'Military Personnel (Afghanistan)', 'Rafael Correa', 'Azubuike Ihejirika', 'Education (Costa Rica)', 'John Kerry']"
6,Conference of Nigerian Political Parties,Make statement,Government (Nigeria),2014-09-29,"['Benjamin Netanyahu', 'National Council for Peace and Order of Thailand', 'Citizen (United Kingdom)', 'Military Personnel (Bahrain)', 'Ashraf Ghani Ahmadzai', 'Citizen (Bangladesh)', 'Intelligence (United States)', 'Lawyer/Attorney (Philippines)', 'Foreign Affairs (Venezuela)', 'People Associated with the Opposition (Ukraine)']"
7,Japan,Consult,Philippines,2014-04-24,"['Philippines', 'Military Personnel (Bahrain)', 'Foreign Affairs (United States)', 'Gjorge Ivanov', 'Laos', 'Head of Government (Egypt)', 'China', 'Court Judge (Iraq)', 'Amit Shah', 'Qatar']"
8,Party Member (Iraq),Consult,Cabinet / Council of Ministers / Advisors (United States),2014-06-23,"['Cabinet / Council of Ministers / Advisors (United States)', 'Indigenous People (Greece)', 'Member of Parliament (South Africa)', 'Employee (Kenya)', 'Cynthia Ligeard', 'Mikhail Margelov', 'Cristina Fernández de Kirchner', 'Legislature (Italy)', 'Citizen (South Korea)', 'Food and Agriculture Organization']"
9,Marziyeh Afkham,Praise or endorse,Iraq,2014-07-25,"['Iraq', 'Independent Corrupt Practices Commission', 'Haider Al-Abadi', 'Media Personnel (Sierra Leone)', 'Government Official (Japan)', 'Nicola Sturgeon', 'Carrie Lam', 'Foreign Affairs (Liberia)', 'Amnesty International', 'Foreign Affairs (Venezuela)']"
10,Wang Yang,Make statement,China,2014-09-04,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
11,Human Rights Activist (China),Make statement,China,2014-12-26,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
12,Colombia,Host a visit,Kyung-wha Kang,2014-06-04,"['Nasser Judeh', 'Guangxi Zhuang', 'Mbhazima Samuel Shilowa', 'Rauf Aregbesola', 'Ministry (Tunisia)', 'Ministry of Mining (Zimbabwe)', 'Portugal', 'Military (Turkey)', 'Military Personnel (Afghanistan)', 'Tanya Plibersek']"
13,Military (Thailand),Make statement,Protester (Thailand),2014-05-23,"['Children (Zimbabwe)', 'Antonis Samaras', 'Military Personnel (Paraguay)', 'Head of Government (Ukraine)', 'University of Cape Town', 'Kim Jong-Un', 'Business (Russia)', 'Association of Southeast Asian Nations', 'Party Member (Bangladesh)', 'Warren Truss']"
14,Juan Carlos I,Make statement,Felipe de Borbon,2014-06-04,"['Pope Francis', 'Sergey Kuzhugetovich Shoygu', 'Emmanuel Eweta Uduaghan', 'Chief Court Judge (Malaysia)', 'Qatar', 'Other Authorities / Officials (Zimbabwe)', 'Evangelos Venizelos', 'Governor (Venezuela)', 'Energy Department/Ministry (Jordan)', 'Legislature (Czech Republic)']"
15,Government Official (Mali),Demand,Military (Mali),2014-05-25,"['Police (Bulgaria)', 'Military (North Korea)', 'Student (Iraq)', 'Zhang Dejiang', 'Armed Rebel (Ukraine)', 'Babbar Khalsa', 'Ministry (Liberia)', 'Head of Government (Greece)', 'Military (Mali)', 'Foreign Affairs (Norway)']"
16,Angela Merkel,Make statement,France,2014-02-19,"['France', 'Military Personnel (Mali)', 'Combatant (Egypt)', 'Member of Parliament (Australia)', 'Afghanistan', 'Colombia', 'Vietnam', 'Somsavat Lengsava', 'Ma Ying Jeou', 'Philippines']"
17,Police (Saudi Arabia),Use conventional military force,Women (Afghanistan),2014-04-18,"['""Uganda People\'s Defence Force""', 'Amnesty International', 'Military (North Korea)', 'Macky Sall', 'Maldives', 'Legislature (Romania)', 'Mary Robinson', 'Healthcare Facility (Greece)', 'Cable News Network', 'Police (Jordan)']"
18,Michael Sata,Demand,Sylvia Masebo,2014-03-16,"['Government (Sweden)', 'Ion Iliescu', 'Political Parties (Lebanon)', 'Military (El Salvador)', 'Royal Administration (Jordan)', 'Dzhokhar Tsarnaev', 'Alexander Lukashevich', 'Business (Poland)', 'Business (Georgia)', 'Central Intelligence Agency']"
19,Kuomintang,Make an appeal or request,Tsai Ing-wen,2014-11-15,"['Head of Government (Poland)', 'Pavlo Klimkin', 'Tsai Ing-wen', 'Poland', 'Fire Brigade (Australia)', 'National Council for Peace and Order of Thailand', 'Ministry (Madagascar)', 'Armenia', 'Military Personnel - Special (Afghanistan)', 'Head of Government (Bulgaria)']"
20,Other Authorities / Officials (Mexico),Make statement,Mexico,2014-10-10,"['Augusto Barrera', 'Military Personnel - Special (Afghanistan)', 'Media Personnel (Iran)', 'Mexico', 'Shiv Sena', 'Armed Rebel (Syria)', 'Religion (India)', 'Other Authorities / Officials (Mauritania)', 'Iran', 'Malaysia']"
21,Ministry (Malaysia),Express intent to meet or negotiate,Citizen (Malaysia),2014-09-15,"['Government (Africa)', 'Media (Kenya)', 'Legislature (Romania)', 'Nurse (India)', 'Justice Department/Ministery (Libya)', 'Ashraf Ghani Ahmadzai', 'Defense / Security Ministry (Russia)', 'Joachim Gauck', 'Citizen (Germany)', 'Rights Activist (China)']"
22,China,Engage in diplomatic cooperation,Fiji,2014-08-19,"['Head of Government (Brazil)', 'Uhuru', 'Alexander Lukashevich', 'Kyoto University', 'Luiz Inacio Lula Da Silva', 'Eugene Wamalwa', 'People Associated with the Opposition (Benin)', 'Hassan Joho', 'Citizen (Yemen)', 'Head of Government (Ukraine)']"
23,Business (Tunisia),Express intent to cooperate economically,Labor Union (Tunisia),2014-06-23,"['Labor Union (Tunisia)', 'Special Rapporteurs of the United Nations', 'Qatar', 'Legislature (Iraq)', 'Moro Islamic Liberation Front', 'Islamic Militant (Syria)', 'Foreign Affairs (Russia)', 'Shiv Sena', 'Media (China)', 'Slovenia']"
24,Sergey Viktorovich Lavrov,Consult,Abdoulaye Diop,2014-09-09,"['Abdoulaye Diop', 'Government (Georgia)', 'Trade Union Congress', 'Local Media (Brazil)', 'Cleric (Iraq)', 'Civic Group (India)', 'Jyrki Katainen', 'Iraq', 'Legislature (Czech Republic)', 'International Court of Justice']"
25,Arseniy Yatsenyuk,Consult,Joseph Robinette Biden,2014-07-29,"['Joseph Robinette Biden', 'Kisii', 'Armenia', 'Citizen (Venezuela)', 'Jyrki Katainen', 'Dmitry Anatolyevich Medvedev', 'National Iranian Tanker Company', 'Kyoto University', 'Ministry (Norfolk Island)', 'Police (Ethiopia)']"
26,Police (Philippines),Investigate,Musa Cerantonio,2014-07-22,"['Democratic Forces for the Liberation of Rwanda', 'People Associated with the Opposition (Russia)', 'Militant (Xinjiang Uyghur)', 'Governor (Somalia)', 'Abdullah Gül', 'François Hollande', 'Leopoldo López', 'Military Personnel (Paraguay)', 'Legislature (Czech Republic)', 'Andriy Klyuyev']"
27,Ministry (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-12-23,"['Citizen (Nigeria)', 'Militant (Boko Haram)', 'Insurgent (Afghanistan)', 'Congress of South African Trade Unions', 'Citizen (Namibia)', 'Sikh (India)', 'Defense / Security Ministry (United States)', 'Professor (Fiji)', 'Abdirahman Ducaale Bayle', 'National Intelligence Bureau (China)']"
28,Military Personnel (Kenya),Make statement,Al-Shabaab,2014-04-08,"['Oommen Chandy', 'Ryoo Kihl-jae', 'Lawyer/Attorney (South Korea)', 'Villager (India)', 'Conservative Party (United Kingdom)', 'Shura Council', 'Jack Dempsey', 'Defense / Security Ministry (Italy)', 'Education (Costa Rica)', 'Military (Argentina)']"
29,Head of Government (China),Make a visit,South Korea,2014-07-04,"['South Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'Lawmaker (Russia)', 'Mary Robinson', 'Head of Government (China)', 'Amnesty International']"
30,Martin Indyk,Make a visit,Middle East,2014-07-04,"['Business (Bulgaria)', 'Middle East', 'Sudan', 'Ministry (Tunisia)', 'Djibouti', 'Energy Department/Ministry (Iran)', '""Awami (People\'s) League""', 'Iran', 'United Arab Emirates', 'Religion (India)']"
31,Hamas,Use conventional military force,Settler (Israel),2014-07-29,"['Education Ministry (United Arab Emirates)', 'Military Personnel (Bahrain)', 'Edgars Rinkevics', 'Ministry (France)', 'Attila Korodi', 'Colombia', 'Angela Merkel', 'Military Personnel - Special (Afghanistan)', 'Abdelilah Benkirane', 'Government (Sweden)']"
32,High Ranking Military Personnel (United Arab Emirates),Make statement,Criminal (United Arab Emirates),2014-04-07,"['Progressive Movement', 'Doctors Without Borders', 'Scientist (China)', 'Peter Greste', 'Ministry (Malaysia)', 'Legislature (Argentina)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Defense / Security Ministry (Nigeria)', 'Party Member (Taiwan)', 'Colombia']"
33,The Standard,Consult,Joseph Ole Lenku,2014-06-15,"['Joseph Ole Lenku', 'Benjamin Netanyahu', 'City Mayor (Indonesia)', 'Royal Administration (Jordan)', 'Special Rapporteurs of the United Nations', 'Nazrul Islam', 'Cynthia Ligeard', 'Government (Namibia)', 'Kidnapper (Indonesia)', 'Nabih Berri']"
34,Anders Breivik,Use unconventional violence,Citizen (Norway),2014-09-05,"['Iraq', 'Ombudsman (Georgia)', 'Citizen (Brazil)', 'Anders Breivik', 'National Anti-Corruption Commission (Thailand)', 'Hamad bin Ali al-Attiyah', 'Trade Union Congress', 'Ministry (Bosnia and Herzegovina)', 'Other Authorities / Officials (Romania)', 'Military Personnel (Thailand)']"
35,Nuri al-Maliki,Make statement,Iraq,2014-06-29,"['Colombia', 'Aam Aadmi Party', 'Victor Ponta', 'Iraq', 'Protester (Thailand)', 'Djibouti', 'Macky Sall', 'Mamnoon Hussain', 'Liyel Imoke', 'Militant (Turkey)']"
36,UN Security Council,Criticize or denounce,North Korea,2014-08-10,"['North Korea', 'Abdul Aziz', 'Governor (Kenya)', 'Heydar Aliyev', 'UN Security Council', 'Head of Government (Kosovo)', 'Special Rapporteurs of the United Nations', 'Jean-Yves Le Drian', 'Michael D. Higgins', 'South Sudan']"
37,Boko Haram,Use conventional military force,Government (Nigeria),2014-04-16,"['Japan Self-Defense Forces', 'Foreign Affairs (Libya)', 'Armed Rebel (Ukraine)', 'Government (Nigeria)', 'Congo', 'Ministry (Czech Republic)', 'Raúl Castro', 'Citizen (South Korea)', 'Arnaud Montebourg', 'Ethnic Group (Afghanistan)']"
