,e1,relation,e2,date,predictions
0,Ministry (Afghanistan),Make statement,Afghanistan,2014-03-06,"['Government (Sweden)', 'Jens Stoltenberg', 'Independent High Electoral Commission', 'Antonis Samaras', 'Citizen (Uganda)', 'Simbarashe Mumbengegwi', 'Slovenia', 'Lawmaker (Indonesia)', 'Chuck Hagel', 'Majid Takht Ravanchi']"
1,John Kerry,Express intent to meet or negotiate,China,2014-11-04,"['Andrej Kiska', 'Government (Syria)', 'Mouloud Hamrouche', 'Antonis Samaras', 'John Kerry', 'Other Authorities / Officials (Mexico)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Frank Mba', 'Oleh Lyashko', 'Lawmaker (Indonesia)']"
2,Japan,Make a visit,Thailand,2014-09-22,"['Japan', 'Dmitry Anatolyevich Medvedev', 'European Central Bank', 'Citizen (Turkey)', 'National Anti-Corruption Commission (Thailand)', 'Congress (United States)', 'Tsai Ing-wen', 'Foreign Affairs (Venezuela)', 'Scientist (China)', 'Israeli Defense Forces']"
3,Head of Government (Pakistan),Express intent to meet or negotiate,Tajikistan,2014-06-16,"['Isaias Afewerki', 'Tanzania', 'Suleiman Abba', 'Colombia', 'People Associated with the Opposition (Bahrain)', 'Media (Zimbabwe)', 'Majid Takht Ravanchi', 'Police (United States)', 'Other Authorities / Officials (Russia)', 'Cabinet / Council of Ministers / Advisors (Senegal)']"
4,Media Personnel (France),Make statement,France,2014-03-24,"['Morocco', 'Citizen (Brazil)', 'Women (Israel)', 'Gjorge Ivanov', 'Bala Garba-Jahumpa', 'Municipal Court (Thailand)', 'Business (Poland)', 'Chief of Staff (French Air Force)', 'Sadayuki Sakakibara', 'Sikh (India)']"
5,Xi Jinping,Make optimistic comment,Malaysia,2014-11-10,"['National Council for Peace and Order of Thailand', 'Men (United States)', 'Head of Government (Poland)', 'Military Personnel (Canada)', 'Head of Government (Pakistan)', 'Nuri al-Maliki', 'Other Authorities / Officials (Turkey)', 'Clergy (Nigeria)', 'Government (France)', 'Mohammad Javad Zarif']"
6,Conference of Nigerian Political Parties,Make statement,Government (Nigeria),2014-09-29,"['UN Security Council', 'Bank (Iran)', 'Armed Rebel (Turkish Kurds)', 'Other Authorities / Officials (Egypt)', 'John Hoeven', 'Court Judge (Nigeria)', 'Austria Press Agency', 'United Arab Emirates', 'Ministry (Venezuela)', 'Lawmaker (Hong Kong)']"
7,Japan,Consult,Philippines,2014-04-24,"['Japan', 'Head of Government (Poland)', 'Hamas', 'Mbhazima Samuel Shilowa', 'Police (Bulgaria)', 'Cabinet / Council of Ministers / Advisors (United States)', 'Marziyeh Afkham', 'Muhammadu Buhari', 'Togo', 'Tajikistan']"
8,Party Member (Iraq),Consult,Cabinet / Council of Ministers / Advisors (United States),2014-06-23,"['Party Member (Iraq)', 'Citizen (Bulgaria)', '""Awami (People\'s) League""', 'Colombia', 'Ministry (Liberia)', 'Michael Brown', 'Legislature (Italy)', 'Chief of Staff (Iraq)', 'Militant (Turkey)', 'Ivan Gasparovic']"
9,Marziyeh Afkham,Praise or endorse,Iraq,2014-07-25,"['Military Personnel (Afghanistan)', 'Marziyeh Afkham', 'Military (Turkey)', 'Nasser Judeh', 'Nguyen Phu Trong', 'Sadayuki Sakakibara', 'Citizen (Venezuela)', 'Didier Burkhalter', 'Oleh Lyashko', 'Head of Government (Brazil)']"
10,Wang Yang,Make statement,China,2014-09-04,"['Macky Sall', 'Representatives (Slovakia)', 'Medical Personnel (Jordan)', 'Foreign Affairs (Mongolia)', 'Military (Thailand)', 'Citizen (Turkey)', 'Uhuru', 'Head of Government (Egypt)', 'City Mayor (South Africa)', 'Bhupinder Singh Hooda']"
11,Human Rights Activist (China),Make statement,China,2014-12-26,"['Head of Government (Brazil)', 'Murtala Nyako', 'Foreign Affairs (Ukraine)', 'Macky Sall', 'Children (France)', 'Food and Agriculture Organization', 'Head of Government (Poland)', 'Herve Ladsous', 'Police (Israel)', 'Ng Eng Hen']"
12,Colombia,Host a visit,Kyung-wha Kang,2014-06-04,"['Ministry (Liberia)', 'Citizen (Mali)', 'Togo', 'Colombia', 'Conservative Party (United Kingdom)', 'Military Advisor (Thailand)', 'Angola', 'Guy Ryder', 'Head of Government (Ukraine)', 'Employee (India)']"
13,Military (Thailand),Make statement,Protester (Thailand),2014-05-23,"['Military (Thailand)', 'Democratic Forces for the Liberation of Rwanda', 'Healthcare Facility (Tanzania)', 'Military Personnel - Special (Mexico)', 'Ministry (Liberia)', 'Party President (Turkey)', 'Citizen (Hungary)', 'Abhisit Vejjajiva', 'Ministry of Mining (Zimbabwe)', 'Military (Niger)']"
